leaf.nb,area.eaten,area.true,perim.nodamage,perim.true,damage.area,damage.perim
D10A,3349,27608,712.665,1221.678,0.108182317,1.714238808
D10B,2914,34105,769.456,1190.086,0.078716335,1.546658938
D10C,981,36285,858.183,999.066,0.026324263,1.164164287
D10D,1382,35058,892.779,1094.329,0.037925357,1.225755758
D11A,2669,39020,808.46,1490.203,0.064021684,1.843261262
D11B,3463,36431,757.768,1486.969,0.086805033,1.962301126
D11C,2437,38235,884.547,1183.82,0.059918371,1.338334763
D11D,670,24073,670.062,775.931,0.027078366,1.157998812
D12A,4051,50205,937.709,1514.321,0.074664553,1.614915715
D12B,6579,56961,1143.437,2434.163,0.103541076,2.128812519
D12C,6521,53646,984.032,1860.028,0.108381671,1.890210887
D12D,3030,55346,1008.784,1322.902,0.051904892,1.311382813
D13A,2219,51494,905.959,1154.867,0.041312159,1.274745325
D13B,1710,53258,951.463,1270.358,0.031109009,1.335162797
D13C,5239,45335,919.6,1535.55,0.103590778,1.669802088
D13D,2388,60166,1041.872,1400.77,0.038175017,1.344474177
D14A,876,29667,680.554,928.191,0.028680876,1.363875607
D14B,5376,33514,773.212,1567.486,0.13823605,2.027239619
D14C,2774,45398,959.495,1475.375,0.057585319,1.53765783
D14D,4984,38687,902.952,1730.707,0.114126079,1.916720933
D15A,2909,20370,624.888,1436.382,0.124962412,2.298623113
D15C,299,28331,688.41,735.233,0.010443591,1.068016153
D16B,2013,41770,829.142,1102.743,0.045976749,1.329980872
D17A,3724,28479,706.968,1107.124,0.1156414,1.566017132
D17C,2230,28264,761.061,1021.686,0.07312914,1.342449554
D17D,3957,29184,790.41,1689.916,0.119398932,2.13802457
D18A,1166,40151,785.271,1072.792,0.028220829,1.366142389
D18B,5153,50332,925.974,1877.446,0.092871947,2.02753641
D18C,4661,36460,850.156,1314.78,0.113348411,1.546516169
D18D,1803,36914,839.564,1162.476,0.046568691,1.384618683
D19A,4357,34889,780.457,1587.524,0.111017683,2.034095408
D19B,4789,43775,955.31,1840.981,0.098612141,1.927103244
D19C,3621,41563,839.845,1421.476,0.080138987,1.692545648
D19D,4236,34467,808.07,1625.852,0.10944888,2.012018761
D1A,4291,45220,914.337,1502.773,0.086667609,1.643565775
D1B,6550,56440,991.375,1874.216,0.103984759,1.89052175
D1C,7755,53877,1028.693,1690.449,0.125827492,1.643297855
D1D,2367,56953,1016.638,1477.169,0.039902225,1.452994084
D20A,2569,39011,799.73,1392.827,0.061784512,1.741621547
D20B,2273,40768,808.684,1198.777,0.052810111,1.482380015
D20C,2437,36416,835.632,1421.916,0.062723599,1.701605491
D20D,1547,35558,806.558,942.986,0.041692494,1.169148406
D2A,1253,41192,802.307,978.594,0.029520556,1.219725118
D2B,2081,43497,853.658,1224.761,0.045657993,1.43472093
