rep.nb,leaf.nb,leaf,leaf.origin,mesh.type,site,leaf.deployment,weeks,land.use,watershed,air.weight,dry.weight,leaching.adj.dry.weight,foil.weight,foil.dry.ash,dry.weight,crucible.weight,subsample.dry,ash.plus.crucible,ash.content,AFDM.after,prct.mass.rem
D1,D9C,D9,nyakagera,fine,nyakagera,home,2,forest,dura,0.94,0.793404,0.62590254,0.7,1.21,0.51,8.2142,8.6928,8.3944,0.376514835,0.317977434,50.80302661
D10,D9A,D9,nyakagera,fine,nyakagera,home,4,forest,dura,0.81,0.682046,0.536805005,0.73,1.71,0.98,8.1868,9.0245,8.7765,0.703951295,0.290127731,54.04713596
D11,D12B,D12,nyakagera,fine,nyakagera,home,1,forest,dura,1.28,1.084648,0.858926865,0.67,2.36,1.69,9.21,10.8412,9.8602,0.398602256,1.016362187,100
D12,D13D,D13,nyakagera,fine,nyakagera,home,3,forest,dura,1.26,1.067516,0.845219552,0.85,1.67,0.82,10.2133,11.0664,10.5223,0.362208416,0.522989099,61.87612409
D13,D13B,D13,nyakagera,fine,nyakagera,home,2,forest,dura,1.44,1.221704,0.96858537,0.77,3.02,2.25,9.4317,11.6498,10.6084,0.530499076,1.056377079,100
D14,D12C,D12,nyakagera,fine,miranga,away,1,farm,dura,0.94,0.793404,0.62590254,0.94,1.89,0.95,9.6219,10.4783,9.9137,0.340728631,0.6263078,100
D15,D7D,D7,nyakagera,fine,miranga,away,1,farm,dura,0.67,0.562122,0.440853812,0.66,1.76,1.1,10.671,11.3778,10.9073,0.334323713,0.732243916,100
D16,D7B,D7,nyakagera,fine,miranga,away,1,farm,dura,0.98,0.827668,0.653317167,0.84,1.9,1.06,9.059,9.6954,9.2067,0.232086738,0.813988058,100
D17,D9D,D9,nyakagera,fine,miranga,away,2,farm,dura,1.14,0.964724,0.762975672,0.76,2.1,1.34,8.7454,9.8273,9.283,0.496903596,0.674149182,88.35788694
D18,D4D,D4,nyakagera,fine,miranga,away,1,farm,dura,0.94,0.793404,0.62590254,0.86,1.91,1.05,8.6326,9.21,8.7933,0.278316592,0.757767579,100
D19,D3A,D3,nyakagera,fine,miranga,away,4,farm,dura,0.93,0.784838,0.619048884,0.76,1.61,0.85,9.7322,10.5043,10.1023,0.479342054,0.442559254,71.49019497
D2,D13A,D13,nyakagera,fine,nyakagera,home,2,forest,dura,1.32,1.118912,0.886341491,0.89,1.92,1.03,9.2489,10.2563,9.5844,0.333035537,0.686973397,77.50662738
D20,D3D,D3,nyakagera,fine,miranga,away,2,farm,dura,0.94,0.793404,0.62590254,0.65,1.61,0.96,8.1847,9.2531,8.6226,0.409865219,0.56652939,90.5139943
D21,D13C,D13,nyakagera,fine,miranga,away,1,farm,dura,0.98,0.827668,0.653317167,0.86,2.06,1.2,9.5514,10.4524,9.9667,0.460932297,0.646881243,99.01488526
D22,D6A,D6,nyakagera,fine,nyakagera,home,1,forest,dura,1.15,0.97329,0.769829329,1.02,2.02,1,8.2744,9.0221,8.4258,0.202487629,0.797512371,100
D23,D3B,D3,nyakagera,fine,miranga,away,3,farm,dura,0.97,0.819102,0.64646351,0.62,1.61,0.99,9.5476,10.2984,9.8767,0.438332445,0.556050879,86.01427154
D24,D11C,D11,nyakagera,fine,miranga,away,4,farm,dura,0.75,0.63065,0.495683065,0.75,1.16,0.41,8.26,9.0426,8.3802,0.153590595,0.347027856,70.01002866
D25,D1D,D1,nyakagera,fine,miranga,away,2,farm,dura,1.01,0.853366,0.673878137,0.61,2.23,1.62,9.8565,11.1726,10.5671,0.539928577,0.745315705,100
D26,D9B,D9,nyakagera,fine,miranga,away,4,farm,dura,1.38,1.170308,0.927463431,0.68,1.3,0.62,8.6326,9.2345,8.6492,0.027579332,0.602900814,65.0053462
D27,D4C,D4,nyakagera,fine,miranga,away,3,farm,dura,0.97,0.819102,0.64646351,0.6,1.55,0.95,9.2414,10.0791,9.604,0.432851856,0.538790737,83.34433855
D28,D2D,D2,nyakagera,fine,miranga,away,4,farm,dura,0.71,0.596386,0.468268439,0.76,1.16,0.4,9.6811,10.1623,9.8082,0.264131338,0.294347465,62.85870249
D29,D3C,D3,nyakagera,fine,nyakagera,home,3,forest,dura,0.87,0.733442,0.577926944,1,1.54,0.54,8.7344,9.2713,9.0265,0.544049171,0.246213448,42.60286703
D3,D12A,D12,nyakagera,fine,nyakagera,home,4,forest,dura,1.15,0.97329,0.769829329,0.91,0.97,0.06,9.5514,9.7588,9.6481,0.466248795,0.032025072,4.160022373
D31,D6D,D6,nyakagera,fine,nyakagera,home,3,forest,dura,0.87,0.733442,0.577926944,0.84,1.55,0.71,8.6277,9.372,9.0624,0.584038694,0.295332527,51.10205194
D32,D6C,D6,nyakagera,fine,nyakagera,home,1,forest,dura,1.08,0.913328,0.721853733,1.2,2.67,1.47,9.5369,10.7411,10.0361,0.414549078,0.860612855,100
D33,D19A,D19,nyakagera,fine,nyakagera,home,3,forest,dura,0.85,0.71631,0.564219631,0.82,1.82,1,9.3665,10.2838,9.8166,0.490679167,0.509320833,90.26995959
D34,D5A,D5,nyakagera,fine,miranga,away,3,farm,dura,0.76,0.639216,0.502536722,0.63,1.4,0.77,10.8911,11.6295,11.23,0.45896533,0.416596696,82.89875698
D35,D6B,D6,nyakagera,fine,miranga,away,3,farm,dura,0.84,0.707744,0.557365974,0.65,1.66,1.01,9.2214,9.9853,9.5314,0.405812279,0.600129598,100
D36,D10B,D10,nyakagera,fine,miranga,away,4,farm,dura,0.73,0.613518,0.481975752,0.76,1.4,0.64,9.3646,9.958,9.631,0.448938322,0.352679474,73.17369658
